Date,AAPL,AUTO.L,MU,NVDA,OCDO.L,SGE.L,TSM
2024-07-18,222.2547149658203,801.3823852539062,116.7159423828125,120.89073944091797,392.5,1039.5928955078125,167.5608367919922
2024-07-19,222.3836212158203,801.9822998046875,113.54589080810547,117.73594665527344,378.1000061035156,1044.5909423828125,161.61376953125
2024-07-22,222.03662109375,802.9820556640625,114.55951690673828,123.33671569824219,424.1000061035156,1049.0892333984375,165.10403442382812
2024-07-23,223.07760620117188,803.3818359375,113.53594970703125,122.38827514648438,430.79998779296875,1059.0853271484375,165.56224060058594
2024-07-24,216.6631622314453,806.3810424804688,109.59076690673828,114.06201934814453,411.1000061035156,1040.0927734375,155.79347229003906
2024-07-25,215.62217712402344,793.784423828125,106.77845764160156,112.09525299072266,425.5,1059.585205078125,156.26141357421875
2024-07-26,216.0881805419922,793.9844360351562,108.72621154785156,112.87396240234375,445.8999938964844,1081.57666015625,157.87982177734375
2024-07-29,216.36575317382812,800.1828002929688,107.17595672607422,111.4063720703125,432.6000061035156,1086.07470703125,155.99819946289062
2024-07-30,216.92092895507812,810.9798583984375,101.91902923583984,103.55931854248047,406.5,1070.580810546875,150.6653289794922
2024-07-31,220.17276000976562,815.378662109375,109.13363647460938,116.82743835449219,405.6000061035156,1085.574951171875,161.64305114746094
2024-08-01,216.48471069335938,810.5798950195312,100.8755874633789,109.0302963256836,401.8999938964844,1074.0794677734375,154.21408081054688
2024-08-02,217.97181701660156,791.3851318359375,92.1206283569336,107.09347534179688,393.70001220703125,1045.0906982421875,146.10269165039062
2024-08-05,207.4727783203125,789.3856811523438,89.8548812866211,100.28469848632812,386.5,1014.1028442382812,144.24057006835938
2024-08-06,205.45030212402344,787.986083984375,88.44377136230469,104.07845306396484,381.3999938964844,1017.6015014648438,151.4940185546875
2024-08-07,208.01805114746094,789.185791015625,86.25752258300781,98.74724578857422,390.70001220703125,1014.1028442382812,151.1527862548828
2024-08-08,211.4780731201172,794.1844482421875,91.49458312988281,104.7972640991211,397.79998779296875,1001.6077880859375,160.4243621826172
2024-08-09,214.38291931152344,791.1852416992188,92.49826049804688,104.57762908935547,374.0,994.8104858398438,162.929931640625
2024-08-12,215.91148376464844,797.5834350585938,94.04852294921875,108.84060668945312,376.70001220703125,1005.1064453125,163.42713928222656
2024-08-13,219.6236572265625,797.9833374023438,96.83102416992188,115.94889831542969,378.29998779296875,1014.1028442382812,168.01904296875
2024-08-14,220.0702667236328,810.3800048828125,99.78245544433594,117.88569641113281,377.5,1019.1008911132812,165.70848083496094
2024-08-15,223.0479736328125,812.779296875,106.28157043457031,122.65782928466797,377.0,1032.0958251953125,169.59844970703125
2024-08-16,224.3680877685547,825.5758666992188,107.3150863647461,124.375,379.29998779296875,1015.1024780273438,170.1638946533203
2024-08-19,224.20925903320312,828.5750122070312,107.95108032226562,129.7860565185547,379.20001220703125,1026.5980224609375,171.05108642578125
2024-08-20,224.8246612548828,820.9771728515625,107.3150863647461,127.04061126708984,356.5,1023.5991821289062,167.72659301757812
